"Classificação","Código do
Insumo","Descrição do Insumo","Unidade","Origem de Preço","AC","AL","AM","AP","BA","CE","DF","ES","GO","MA","MG","MS","MT","PA","PB","PE","PI","PR","RJ","RN","RO","RR","RS","SC","SE","SP","TO"
"SERVIÇOS","45333","ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL","UN","CR","302.08","177.69","207.9","187.64","113.72","","139.41","55.08","184.81","236.93","116.68","213.23","142.15","177.69","159.92","186.58","177.69","152.82","177.69","","173.35","","213.23","213.23","114.51","189.89",""
"MATERIAL","11270","ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM","UN","CR","","2.73","","3.48","3.0","3.6","","2.54","","","3.33","2.91","2.7","3.3","","4.05","","2.36","3.48","2.64","3.0","","","3.24","","2.4",""
"MATERIAL","412","ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM","UN","CR","1.18","0.77","1.18","0.92","0.92","0.87","1.08","1.33","0.92","1.02","1.08","1.59","1.38","1.44","0.92","1.18","1.28","1.02","0.92","0.92","0.87","","1.18","1.02","0.77","1.13","1.02"
"MATERIAL","414","ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM","UN","CR","0.07","0.04","0.07","0.05","0.05","0.05","0.06","0.08","0.05","0.06","0.06","0.1","0.08","0.09","0.05","0.07","0.08","0.06","0.05","0.05","0.05","","0.07","0.06","0.04","0.07","0.06"
"MATERIAL","410","ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM","UN","CR","0.18","0.11","0.18","0.14","0.14","0.13","0.16","0.2","0.14","0.15","0.16","0.24","0.21","0.22","0.14","0.18","0.19","0.15","0.14","0.14","0.13","","0.18","0.15","0.11","0.17","0.15"
"MATERIAL","411","ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM","UN","C","0.23","0.15","0.23","0.18","0.18","0.17","0.21","0.26","0.18","0.2","0.21","0.31","0.27","0.28","0.18","0.23","0.25","0.2","0.18","0.18","0.17","","0.23","0.2","0.15","0.22","0.2"
"MATERIAL","408","ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM","UN","CR","1.14","0.74","1.14","0.89","0.89","0.84","1.04","1.29","0.89","0.99","1.04","1.53","1.34","1.39","0.89","1.14","1.24","0.99","0.89","0.89","0.84","","1.14","0.99","0.74","1.09","0.99"
"MATERIAL","39131","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO","UN","CR","4.68","3.35","5.95","6.68","3.86","7.4","3.77","3.38","2.63","5.29","3.18","5.73","3.88","3.94","4.42","4.93","5.1","4.34","4.39","4.93","6.12","5.44","4.86","2.14","2.8","3.37","4.78"
"MATERIAL","394","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO","UN","CR","4.73","3.39","6.03","6.77","3.91","7.49","3.82","3.42","2.67","5.35","3.22","5.8","3.92","3.99","4.48","4.99","5.17","4.39","4.44","4.99","6.2","5.51","4.92","2.17","2.84","3.41","4.84"
"MATERIAL","39130","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO","UN","CR","4.27","3.05","5.43","6.1","3.52","6.75","3.44","3.09","2.4","4.83","2.9","5.23","3.54","3.6","4.03","4.5","4.65","3.96","4.0","4.5","5.59","4.97","4.44","1.95","2.56","3.07","4.36"
"MATERIAL","395","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO","UN","CR","4.56","3.26","5.8","6.52","3.76","7.21","3.68","3.3","2.57","5.16","3.1","5.59","3.78","3.85","4.31","4.81","4.97","4.23","4.28","4.81","5.97","5.31","4.74","2.09","2.73","3.28","4.66"
"MATERIAL","39129","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO","UN","CR","2.63","1.88","3.35","3.76","2.17","4.16","2.12","1.9","1.48","2.97","1.79","3.22","2.18","2.22","2.48","2.77","2.87","2.44","2.47","2.77","3.44","3.06","2.73","1.2","1.57","1.89","2.69"
"MATERIAL","393","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO","UN","C","2.75","1.97","3.5","3.93","2.27","4.35","2.22","1.99","1.55","3.11","1.87","3.37","2.28","2.32","2.6","2.9","3.0","2.55","2.58","2.9","3.6","3.2","2.86","1.26","1.65","1.98","2.81"
"MATERIAL","39127","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO","UN","CR","2.25","1.61","2.86","3.21","1.85","3.56","1.81","1.63","1.26","2.54","1.53","2.76","1.86","1.9","2.12","2.37","2.45","2.08","2.11","2.37","2.94","2.62","2.34","1.03","1.35","1.62","2.3"
"MATERIAL","392","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO","UN","CR","2.31","1.65","2.94","3.3","1.9","3.65","1.86","1.67","1.3","2.61","1.57","2.83","1.91","1.94","2.18","2.43","2.52","2.14","2.16","2.43","3.02","2.68","2.4","1.05","1.38","1.66","2.36"
"MATERIAL","39133","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO","UN","CR","6.14","4.4","7.81","8.77","5.07","9.71","4.95","4.44","3.46","6.94","4.17","7.52","5.09","5.18","5.8","6.47","6.7","5.69","5.76","6.47","8.04","7.14","6.38","2.81","3.68","4.42","6.27"
"MATERIAL","397","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO","UN","CR","6.78","4.86","8.63","9.69","5.6","10.73","5.47","4.91","3.82","7.67","4.61","8.31","5.62","5.72","6.41","7.15","7.4","6.29","6.36","7.15","8.88","7.89","7.05","3.1","4.07","4.88","6.93"
"MATERIAL","39132","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO","UN","CR","4.91","3.52","6.25","7.02","4.05","7.77","3.96","3.55","2.77","5.55","3.34","6.02","4.07","4.14","4.64","5.18","5.36","4.55","4.61","5.18","6.43","5.71","5.11","2.25","2.94","3.53","5.02"
"MATERIAL","396","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO","UN","CR","5.26","3.77","6.7","7.52","4.34","8.32","4.25","3.81","2.96","5.95","3.58","6.45","4.36","4.44","4.97","5.55","5.74","4.88","4.94","5.55","6.89","6.12","5.47","2.41","3.15","3.79","5.38"
"MATERIAL","39135","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO","UN","CR","9.82","7.04","12.51","14.04","8.11","15.54","7.93","7.11","5.54","11.11","6.68","12.04","8.14","8.29","9.29","10.36","10.72","9.11","9.22","10.36","12.86","11.43","10.22","4.5","5.89","7.07","10.04"
"MATERIAL","39134","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO","UN","CR","8.19","5.86","10.42","11.7","6.76","12.95","6.61","5.92","4.61","9.26","5.57","10.03","6.79","6.91","7.74","8.63","8.93","7.59","7.68","8.63","10.72","9.53","8.51","3.75","4.91","5.89","8.37"
"MATERIAL","398","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO","UN","CR","7.54","5.4","9.6","10.78","6.23","11.93","6.09","5.46","4.25","8.53","5.13","9.24","6.25","6.36","7.13","7.95","8.23","6.99","7.08","7.95","9.88","8.78","7.84","3.45","4.52","5.43","7.71"
"MATERIAL","39128","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO","UN","CR","2.45","1.76","3.12","3.51","2.02","3.88","1.98","1.77","1.38","2.77","1.67","3.01","2.03","2.07","2.32","2.59","2.68","2.27","2.3","2.59","3.21","2.85","2.55","1.12","1.47","1.76","2.51"
"MATERIAL","400","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO","UN","CR","2.39","1.71","3.05","3.42","1.98","3.79","1.93","1.73","1.35","2.71","1.63","2.93","1.98","2.02","2.26","2.52","2.61","2.22","2.25","2.52","3.14","2.79","2.49","1.09","1.43","1.72","2.45"
"MATERIAL","39125","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO","UN","CR","2.45","1.76","3.12","3.51","2.02","3.88","1.98","1.77","1.38","2.77","1.67","3.01","2.03","2.07","2.32","2.59","2.68","2.27","2.3","2.59","3.21","2.85","2.55","1.12","1.47","1.76","2.51"
"MATERIAL","39126","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO","UN","CR","11.05","7.92","14.07","15.8","9.12","17.49","8.92","8.0","6.23","12.5","7.51","13.55","9.16","9.32","10.45","11.66","12.06","10.25","10.37","11.66","14.47","12.86","11.5","5.06","6.63","7.96","11.29"
"MATERIAL","399","ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO","UN","CR","9.74","6.97","12.39","13.92","8.04","15.41","7.86","7.04","5.49","11.01","6.62","11.93","8.07","8.21","9.21","10.27","10.62","9.03","9.13","10.27","12.75","11.33","10.13","4.46","5.84","7.01","9.95"
